Provider,Model Name,Model Arn,Model ID,Input Modality,Output Modality,Response Streaming Supported,Inference Types Supported,Customization Supported
AI21 Labs,Jurassic-2 Mid,arn:aws:bedrock:us-east-1::foundation-model/ai21.j2-mid,ai21.j2-mid,TEXT,TEXT,FALSE,ON_DEMAND,
AI21 Labs,Jurassic-2 Mid,arn:aws:bedrock:us-east-1::foundation-model/ai21.j2-mid-v1,ai21.j2-mid-v1,TEXT,TEXT,FALSE,ON_DEMAND,
AI21 Labs,Jurassic-2 Ultra,arn:aws:bedrock:us-east-1::foundation-model/ai21.j2-ultra,ai21.j2-ultra,TEXT,TEXT,FALSE,ON_DEMAND,
AI21 Labs,Jurassic-2 Ultra,arn:aws:bedrock:us-east-1::foundation-model/ai21.j2-ultra-v1,ai21.j2-ultra-v1,TEXT,TEXT,FALSE,ON_DEMAND,
Anthropic,Claude Instant,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-instant-v1:2:100k,anthropic.claude-instant-v1:2:100k,TEXT,TEXT,TRUE,PROVISIONED,
Anthropic,Claude Instant,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-instant-v1,anthropic.claude-instant-v1,TEXT,TEXT,TRUE,ON_DEMAND,
Anthropic,Claude,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v1:3:18k,anthropic.claude-v1:3:18k,TEXT,TEXT,TRUE,PROVISIONED,
Anthropic,Claude,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v1:3:100k,anthropic.claude-v1:3:100k,TEXT,TEXT,TRUE,PROVISIONED,
Anthropic,Claude,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v1,anthropic.claude-v1,TEXT,TEXT,TRUE,ON_DEMAND,
Anthropic,Claude,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2:0:18k,anthropic.claude-v2:0:18k,TEXT,TEXT,TRUE,PROVISIONED,
Anthropic,Claude,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2:0:100k,anthropic.claude-v2:0:100k,TEXT,TEXT,TRUE,PROVISIONED,
Anthropic,Claude,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2:1:18k,anthropic.claude-v2:1:18k,TEXT,TEXT,TRUE,PROVISIONED,
Anthropic,Claude,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2:1:200k,anthropic.claude-v2:1:200k,TEXT,TEXT,TRUE,PROVISIONED,
Anthropic,Claude,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2:1,anthropic.claude-v2:1,TEXT,TEXT,TRUE,ON_DEMAND,
Anthropic,Claude,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2,anthropic.claude-v2,TEXT,TEXT,TRUE,ON_DEMAND,
Cohere,Command,arn:aws:bedrock:us-east-1::foundation-model/cohere.command-text-v14:7:4k,cohere.command-text-v14:7:4k,TEXT,TEXT,TRUE,PROVISIONED,FINE_TUNING
Cohere,Command,arn:aws:bedrock:us-east-1::foundation-model/cohere.command-text-v14,cohere.command-text-v14,TEXT,TEXT,TRUE,ON_DEMAND,
Cohere,Command Light,arn:aws:bedrock:us-east-1::foundation-model/cohere.command-light-text-v14:7:4k,cohere.command-light-text-v14:7:4k,TEXT,TEXT,TRUE,PROVISIONED,FINE_TUNING
Cohere,Command Light,arn:aws:bedrock:us-east-1::foundation-model/cohere.command-light-text-v14,cohere.command-light-text-v14,TEXT,TEXT,TRUE,ON_DEMAND,
Cohere,Embed English,arn:aws:bedrock:us-east-1::foundation-model/cohere.embed-english-v3,cohere.embed-english-v3,TEXT,EMBEDDING,FALSE,ON_DEMAND,
Cohere,Embed Multilingual,arn:aws:bedrock:us-east-1::foundation-model/cohere.embed-multilingual-v3,cohere.embed-multilingual-v3,TEXT,EMBEDDING,FALSE,ON_DEMAND,
Meta,Llama 2 Chat 13B,arn:aws:bedrock:us-east-1::foundation-model/meta.llama2-13b-chat-v1:0:4k,meta.llama2-13b-chat-v1:0:4k,TEXT,TEXT,TRUE,PROVISIONED,
Meta,Llama 2 Chat 13B,arn:aws:bedrock:us-east-1::foundation-model/meta.llama2-13b-chat-v1,meta.llama2-13b-chat-v1,TEXT,TEXT,TRUE,ON_DEMAND,
Meta,Llama 2 Chat 70B,arn:aws:bedrock:us-east-1::foundation-model/meta.llama2-70b-chat-v1:0:4k,meta.llama2-70b-chat-v1:0:4k,TEXT,TEXT,TRUE,,
Meta,Llama 2 Chat 70B,arn:aws:bedrock:us-east-1::foundation-model/meta.llama2-70b-chat-v1,meta.llama2-70b-chat-v1,TEXT,TEXT,TRUE,ON_DEMAND,
Meta,Llama 2 13B,arn:aws:bedrock:us-east-1::foundation-model/meta.llama2-13b-v1:0:4k,meta.llama2-13b-v1:0:4k,TEXT,TEXT,TRUE,,FINE_TUNING
Meta,Llama 2 13B,arn:aws:bedrock:us-east-1::foundation-model/meta.llama2-13b-v1,meta.llama2-13b-v1,TEXT,TEXT,TRUE,,
Meta,Llama 2 70B,arn:aws:bedrock:us-east-1::foundation-model/meta.llama2-70b-v1:0:4k,meta.llama2-70b-v1:0:4k,TEXT,TEXT,TRUE,,FINE_TUNING
Meta,Llama 2 70B,arn:aws:bedrock:us-east-1::foundation-model/meta.llama2-70b-v1,meta.llama2-70b-v1,TEXT,TEXT,TRUE,,
