Provider,Model Name,Model Arn,Model ID,Input Modality,Output Modality,Response Streaming Supported,Inference Types Supported,Customization Supported
Amazon,Titan Text Large,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-tg1-large,amazon.titan-tg1-large,TEXT,TEXT,TRUE,ON_DEMAND,
Amazon,Titan Image Generator G1,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-image-generator-v1:0,amazon.titan-image-generator-v1:0,TEXT/IMAGE,IMAGE,,ON_DEMAND/PROVISIONED,FINE_TUNING
Amazon,Titan Image Generator G1,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-image-generator-v1,amazon.titan-image-generator-v1,TEXT/IMAGE,IMAGE,,ON_DEMAND,
Amazon,Titan Text Embeddings v2,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-embed-g1-text-02,amazon.titan-embed-g1-text-02,TEXT,EMBEDDING,,ON_DEMAND,
Amazon,Titan Text G1 - Lite,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-text-lite-v1:0:4k,amazon.titan-text-lite-v1:0:4k,TEXT,TEXT,TRUE,PROVISIONED,FINE_TUNING/CONTINUED_PRE_TRAINING
Amazon,Titan Text G1 - Lite,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-text-lite-v1,amazon.titan-text-lite-v1,TEXT,TEXT,TRUE,ON_DEMAND,
Amazon,Titan Text G1 - Express,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-text-express-v1:0:8k,amazon.titan-text-express-v1:0:8k,TEXT,TEXT,TRUE,PROVISIONED,FINE_TUNING/CONTINUED_PRE_TRAINING
Amazon,Titan Text G1 - Express,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-text-express-v1,amazon.titan-text-express-v1,TEXT,TEXT,TRUE,ON_DEMAND,
Amazon,Titan Embeddings G1 - Text,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-embed-text-v1:2:8k,amazon.titan-embed-text-v1:2:8k,TEXT,EMBEDDING,FALSE,PROVISIONED,
Amazon,Titan Embeddings G1 - Text,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-embed-text-v1,amazon.titan-embed-text-v1,TEXT,EMBEDDING,FALSE,ON_DEMAND,
Amazon,Titan Multimodal Embeddings G1,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-embed-image-v1:0,amazon.titan-embed-image-v1:0,TEXT/IMAGE,EMBEDDING,,ON_DEMAND/PROVISIONED,FINE_TUNING
Amazon,Titan Multimodal Embeddings G1,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-embed-image-v1,amazon.titan-embed-image-v1,TEXT/IMAGE,EMBEDDING,,ON_DEMAND,
Stability AI,SDXL 0.8,arn:aws:bedrock:us-east-1::foundation-model/stability.stable-diffusion-xl,stability.stable-diffusion-xl,TEXT/IMAGE,IMAGE,,ON_DEMAND,
Stability AI,SDXL 0.8,arn:aws:bedrock:us-east-1::foundation-model/stability.stable-diffusion-xl-v0,stability.stable-diffusion-xl-v0,TEXT/IMAGE,IMAGE,,ON_DEMAND,
Stability AI,SDXL 1.0,arn:aws:bedrock:us-east-1::foundation-model/stability.stable-diffusion-xl-v1:0,stability.stable-diffusion-xl-v1:0,TEXT/IMAGE,IMAGE,,PROVISIONED,
Stability AI,SDXL 1.0,arn:aws:bedrock:us-east-1::foundation-model/stability.stable-diffusion-xl-v1,stability.stable-diffusion-xl-v1,TEXT/IMAGE,IMAGE,,ON_DEMAND,
AI21 Labs,J2 Grande Instruct,arn:aws:bedrock:us-east-1::foundation-model/ai21.j2-grande-instruct,ai21.j2-grande-instruct,TEXT,TEXT,FALSE,ON_DEMAND,
AI21 Labs,J2 Jumbo Instruct,arn:aws:bedrock:us-east-1::foundation-model/ai21.j2-jumbo-instruct,ai21.j2-jumbo-instruct,TEXT,TEXT,FALSE,ON_DEMAND,
